# TODO: this is ps -ef output on your k40
# TODO: interpret what's going on

UID             PID   PPID C STIME TTY          TIME CMD
root              1      0 0 22:41:36 ?     00:00:02 init second_stage
root              2      0 0 22:41:36 ?     00:00:00 [kthreadd]
root              3      2 0 22:41:36 ?     00:00:00 [rcu_gp]
root              4      2 0 22:41:36 ?     00:00:00 [rcu_par_gp]
root              6      2 0 22:41:36 ?     00:00:00 [kworker/0:0H-events_highpri]
root              9      2 0 22:41:36 ?     00:00:00 [mm_percpu_wq]
root             10      2 0 22:41:36 ?     00:00:00 [ksoftirqd/0]
root             11      2 0 22:41:36 ?     00:00:00 [rcu_preempt]
root             12      2 0 22:41:36 ?     00:00:00 [rcu_sched]
root             13      2 0 22:41:36 ?     00:00:00 [rcu_bh]
root             14      2 0 22:41:36 ?     00:00:00 [rcuop/0]
root             15      2 0 22:41:36 ?     00:00:00 [rcuos/0]
root             16      2 0 22:41:36 ?     00:00:00 [rcuob/0]
root             17      2 0 22:41:36 ?     00:00:00 [migration/0]
root             18      2 0 22:41:36 ?     00:00:00 [cpuhp/0]
root             19      2 0 22:41:36 ?     00:00:00 [cpuhp/1]
root             20      2 0 22:41:36 ?     00:00:00 [migration/1]
root             21      2 0 22:41:36 ?     00:00:00 [ksoftirqd/1]
root             23      2 0 22:41:36 ?     00:00:00 [kworker/1:0H-events_highpri]
root             24      2 0 22:41:36 ?     00:00:00 [rcuop/1]
root             25      2 0 22:41:36 ?     00:00:00 [rcuos/1]
root             26      2 0 22:41:36 ?     00:00:00 [rcuob/1]
root             27      2 0 22:41:36 ?     00:00:00 [cpuhp/2]
root             28      2 0 22:41:36 ?     00:00:00 [migration/2]
root             29      2 0 22:41:36 ?     00:00:00 [ksoftirqd/2]
root             30      2 0 22:41:36 ?     00:00:00 [kworker/2:0-mm_percpu_wq]
root             31      2 0 22:41:36 ?     00:00:00 [kworker/2:0H-events_highpri]
root             32      2 0 22:41:36 ?     00:00:00 [rcuop/2]
root             33      2 0 22:41:36 ?     00:00:00 [rcuos/2]
root             34      2 0 22:41:36 ?     00:00:00 [rcuob/2]
root             35      2 0 22:41:36 ?     00:00:00 [cpuhp/3]
root             36      2 0 22:41:36 ?     00:00:00 [migration/3]
root             37      2 0 22:41:36 ?     00:00:00 [ksoftirqd/3]
root             39      2 0 22:41:36 ?     00:00:00 [kworker/3:0H-events_highpri]
root             40      2 0 22:41:36 ?     00:00:00 [rcuop/3]
root             41      2 0 22:41:36 ?     00:00:00 [rcuos/3]
root             42      2 0 22:41:36 ?     00:00:00 [rcuob/3]
root             43      2 0 22:41:36 ?     00:00:00 [cpuhp/4]
root             44      2 0 22:41:36 ?     00:00:00 [migration/4]
root             45      2 0 22:41:36 ?     00:00:00 [ksoftirqd/4]
root             46      2 0 22:41:36 ?     00:00:00 [kworker/4:0-events_power_efficient]
root             47      2 0 22:41:36 ?     00:00:00 [kworker/4:0H-events_highpri]
root             48      2 0 22:41:36 ?     00:00:00 [rcuop/4]
root             49      2 0 22:41:36 ?     00:00:00 [rcuos/4]
root             50      2 0 22:41:36 ?     00:00:00 [rcuob/4]
root             51      2 0 22:41:36 ?     00:00:00 [cpuhp/5]
root             52      2 0 22:41:36 ?     00:00:00 [migration/5]
root             53      2 0 22:41:36 ?     00:00:00 [ksoftirqd/5]
root             54      2 0 22:41:36 ?     00:00:00 [kworker/5:0-events_power_efficient]
root             55      2 0 22:41:36 ?     00:00:00 [kworker/5:0H-events_highpri]
root             56      2 0 22:41:36 ?     00:00:00 [rcuop/5]
root             57      2 0 22:41:36 ?     00:00:00 [rcuos/5]
root             58      2 0 22:41:36 ?     00:00:00 [rcuob/5]
root             59      2 0 22:41:36 ?     00:00:00 [cpuhp/6]
root             60      2 0 22:41:36 ?     00:00:00 [migration/6]
root             61      2 0 22:41:36 ?     00:00:00 [ksoftirqd/6]
root             63      2 0 22:41:36 ?     00:00:00 [kworker/6:0H-events_highpri]
root             64      2 0 22:41:36 ?     00:00:00 [rcuop/6]
root             65      2 0 22:41:36 ?     00:00:00 [rcuos/6]
root             66      2 0 22:41:36 ?     00:00:00 [rcuob/6]
root             67      2 0 22:41:36 ?     00:00:00 [cpuhp/7]
root             68      2 0 22:41:36 ?     00:00:00 [migration/7]
root             69      2 0 22:41:36 ?     00:00:00 [ksoftirqd/7]
root             71      2 0 22:41:36 ?     00:00:00 [kworker/7:0H-events_highpri]
root             72      2 0 22:41:36 ?     00:00:00 [rcuop/7]
root             73      2 0 22:41:36 ?     00:00:00 [rcuos/7]
root             74      2 0 22:41:36 ?     00:00:00 [rcuob/7]
root             75      2 0 22:41:36 ?     00:00:00 [netns]
root             76      2 0 22:41:36 ?     00:00:00 [rcu_tasks_kthre]
root             77      2 0 22:41:36 ?     00:00:00 [kauditd]
root             80      2 1 22:41:36 ?     00:00:09 [kworker/u16:1-ufs_pm_qos_0]
root             84      2 0 22:41:36 ?     00:00:00 [kworker/3:1-events]
root             86      2 0 22:41:36 ?     00:00:00 [ipa_usb_wq]
root             87      2 0 22:41:36 ?     00:00:00 [msm_watchdog]
root             88      2 0 22:41:36 ?     00:00:00 [qmp_aop]
root             90      2 0 22:41:36 ?     00:00:00 [oom_reaper]
root             91      2 0 22:41:36 ?     00:00:00 [writeback]
root             92      2 0 22:41:36 ?     00:00:00 [kcompactd0]
root             93      2 0 22:41:36 ?     00:00:00 [crypto]
root             94      2 0 22:41:36 ?     00:00:00 [kblockd]
root             95      2 0 22:41:36 ?     00:00:00 [blk_crypto_wq]
root             96      2 0 22:41:36 ?     00:00:00 [irq/218-arm-smm]
root             97      2 0 22:41:36 ?     00:00:00 [irq/219-arm-smm]
root             98      2 0 22:41:36 ?     00:00:00 [irq/228-arm-smm]
root             99      2 0 22:41:36 ?     00:00:00 [irq/229-arm-smm]
root            100      2 0 22:41:36 ?     00:00:00 [longpress]
root            101      2 0 22:41:36 ?     00:00:00 [irq/103-tsens-u]
root            102      2 0 22:41:36 ?     00:00:00 [irq/104-tsens-c]
root            103      2 0 22:41:36 ?     00:00:00 [irq/105-tsens-u]
root            104      2 0 22:41:36 ?     00:00:00 [irq/106-tsens-c]
root            105      2 0 22:41:36 ?     00:00:00 [edac-poller]
root            106      2 0 22:41:36 ?     00:00:00 [irq/8-dcvsh-irq]
root            107      2 0 22:41:36 ?     00:00:00 [irq/9-dcvsh-irq]
root            108      2 0 22:41:36 ?     00:00:00 [irq/10-dcvsh-ir]
root            110      2 0 22:41:36 ?     00:00:00 [ion-pool-uncach]
root            111      2 0 22:41:36 ?     00:00:00 [ion-pool-cached]
root            112      2 0 22:41:36 ?     00:00:00 [system]
root            113      2 0 22:41:36 ?     00:00:00 [rtmm_pool]
root            114      2 0 22:41:36 ?     00:00:01 [rtmm_reclaim]
root            115      2 0 22:41:36 ?     00:00:00 [ipa_power_mgmt]
root            116      2 0 22:41:36 ?     00:00:00 [transport_power]
root            117      2 0 22:41:36 ?     00:00:00 [ipa_pm_activate]
root            118      2 0 22:41:36 ?     00:00:00 [irq/235-arm-smm]
root            119      2 0 22:41:36 ?     00:00:00 [irq/236-arm-smm]
root            120      2 0 22:41:36 ?     00:00:00 [irq/237-arm-smm]
root            121      2 0 22:41:36 ?     00:00:00 [irq/238-arm-smm]
root            122      2 0 22:41:36 ?     00:00:00 [devfreq_wq]
root            123      2 0 22:41:36 ?     00:00:00 [governor_msm_ad]
root            124      2 0 22:41:36 ?     00:00:00 [irq/239-arm-smm]
root            125      2 0 22:41:36 ?     00:00:00 [kworker/7:2-cgroup_pidlist_destroy]
root            126      2 0 22:41:36 ?     00:00:00 [irq/240-arm-smm]
root            127      2 0 22:41:36 ?     00:00:00 [irq/241-arm-smm]
root            128      2 0 22:41:36 ?     00:00:00 [cfg80211]
root            165      2 0 22:41:36 ?     00:00:00 [migt_thread]
root            166      2 0 22:41:36 ?     00:00:00 [kswapd0:0]
